max_voltage_step,framework_formula,formula_charge,max_delta_volume,average_voltage,capacity_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,id_charge,id_discharge
25.4782109199999,MnO2,MnO2,0.094286432588355,6.77546276666667,285.493144259584,0,0.25,1.49100717138889,0.09791782125,mp-796077,mp-25373
0,WO2,WO2,0.057389334629736,1.21638484666667,120.304808359483,0,0.25,0.269232125,0.309206087500001,mp-25375,mp-25467
0,CuO2,CuO2,0.019497140236407,4.05110105666667,135.340099688452,0,0.142857142857142,0.190485898541666,0.042580287428571,mp-504100,mp-25385
0,FeO2,FeO2,0.022473206979525,4.37877296666667,146.754019607903,0,0.142857142857142,0.258179855833334,0.032378301285715,mp-1395285,mp-25386
0.338788350000014,TiO2,TiO2,0.026268883505719,1.30467789666667,308.748636574138,0,0.25,0.159018460833333,0.02196384375,mp-25433,mp-25417
0,MoO2,MoO2,0.015641656788468,2.69803364666667,101.977109479176,0,0.142857142857142,0.228986432499999,0.015883904107141,mp-714969,mp-25576
1.60699353833333,NiO2,NiO2,0.175729628396623,2.98403459366667,337.147771065211,0,0.294117647058823,0.140188005277778,0.070609292941175,mp-25428,mp-780142
0,NiO2,NiO2,0.202238900066546,3.31829953666667,274.511960535595,0,0.25,0.133447169444444,0.038451698333333,mp-510753,mp-25587
0.485301940000113,BiF5,BiF5,0.423614975969699,5.77022043916667,168.639979791024,0,0.25,0,0.062907708749996,mp-27743,mp-760419
0.744383289999943,V2O5,LiV6O15,0.002344177372612,3.03727321666669,47.9006744066612,0.045454545454545,0.08695652173913,0.034666561363646,0.040506211521739,mp-1235037,mp-27751
