compoundID,formula_charge,capacity_grav,LCD,PLD,LCD_along_PLD,max_delta_volume,average_voltage,fracA_charge,fracA_discharge,stability_charge,stability_discharge
mp-771199,V3FeO8,152.91247155009,2.06129,0.53478,2.06126,0.033405882610889,1.88238183166667,0,0.142857142857142,0.064399085208311,0.116915733169643
mp-1177534,Li3V3CoO8,72.9258477909264,1.36428,0,1.36428,0.00463389326915,2.05895050666667,0.2,0.25,0.127787641111113,0.086653310833332
mp-756701,Li3Mn3WO8,53.133966304368,1.80929,0,1.80928,0.003268596747578,1.64860964666667,0.2,0.25,0.092908025666667,0.112911723125002
mp-867855,V2Si4O11,132.647634822257,1.48745,0.39021,1.26899,0.068614157439638,1.95323320916666,0,0.105263157894736,0.096707256642131,0.014247621798238
mp-770762,La7(FeO8)2,59.0843475967375,2.36397,0.04069,2.36397,0.00472077241381,3.45798377333333,0,0.107142857142857,0.119452813150003,0.047305321875008
mp-756754,TiCo5O12,190.659566202241,1.11606,0.89164,1.11606,0.01118588123472,3.33107904916666,0,0.181818181818181,0.066907694583333,0.062530191647725
mp-756760,P5WO15,90.4566447807903,2.21389,1.35252,1.9469,0.003838673411441,3.81681298916666,0,0.08695652173913,0.079751198412655,0.030175538333332
mp-756779,Fe2O3F,37.1372434519533,0.73664,0.4153,0.73641,0.049227717749346,15.6458720666667,0,0.04,0.646863477592593,0.148258488455552
mp-756788,Mn3FeO8,217.61671371829,0.97705,0.40368,0.97702,0.085121564342329,2.825658825,0,0.2,0.079858902499999,0.097502476000006
mp-849418,Li3V3Cr2O10,118.717825959823,1.37276,0,1.37276,0.006000022350102,2.33040853916666,0.166666666666666,0.25,0.093175242569436,0.036373912249996
mp-762633,LiMn2NiO6,187.824278270706,1.32143,0.46757,1.32143,0.043119466793725,2.90164341166666,0.1,0.25,0.080957506999996,0.042024479999992
mp-756860,LiMn5(CuO6)2,87.2162944075972,1.36354,0.53728,1.35942,0.022984220644009,2.79756014166667,0.05,0.136363636363636,0.082985764434725,0.083052759090919
mp-770474,La4Ti3O12,29.8405409013535,1.33095,0.2095,1.33095,0.019876330803973,1.81570127666667,0,0.05,0.09356332894737,0.030648867000008
mp-772119,Mn3V2O10,290.438942941773,1.50678,0.88326,1.44379,0.005481098505827,2.63750036766667,0,0.25,0.107751661555543,0.065915816125
mp-757998,Li2Ni3TeO8,116.670364558912,1.19651,0.72109,1.19651,0.030350762414901,3.20304207666666,0.142857142857142,0.25,0.080161317142856,0.043624319062499
mp-774945,MnV3O8,294.909248362723,2.38313,1.82523,2.38313,0.280339134840295,1.88543890166667,0,0.25,0.07028299625,0.114671090468751
mp-849767,Mn3SnO8,126.005627816678,1.52875,0.94065,1.52732,0.051951299455375,3.42814514916667,0,0.142857142857142,0.108057974375,0.016999218928583
mp-756938,Mn3Cr5O16,357.260177619862,1.01312,0.37934,0.95415,0.192934221279416,2.43791738766666,0,0.294117647058823,0.083209491979166,0.09624340882353
mp-756950,CrCo5O12,189.269689470457,1.10178,0.9082,1.10178,0.016810319064848,3.54215013166666,0,0.181818181818181,0.106709369444455,0.066068823661619
